Type,Bus1,Bus2,Bus3,PsseCircuitNumber,PsseName
line,667000,667669,,Z1,ignore
line,667033,667035,,Z1,ignore
line,667041,667679,,Z1,ignore
line,667052,667085,,Z1,ignore
line,667218,667220,,Z1,ignore
line,667248,667249,,Z1,ignore
line,667249,667250,,Z1,ignore
line,667661,667669,,Z1,ignore
line,667669,667662,,Z1,ignore
line,667679,667671,,Z1,ignore
line,667672,667679,,Z1,ignore
line,668003,668004,,Z1,ignore
line,668004,668005,,Z1,ignore
line,668024,668025,,Z1,ignore
line,668032,668033,,Z1,ignore
line,668049,668050,,Z1,ignore
line,668050,668052,,Z1,ignore
line,668057,668050,,Z1,ignore
line,668050,668061,,Z1,ignore
line,668058,668053,,Z1,ignore
line,668056,668055,,Z1,ignore
line,667033,667035,,Z2,ignore
line,667033,667035,,Z3,ignore
line,667041,667076,,1,ignore
line,667216,667224,,1,ignore
line,667216,667225,,2,ignore
line,668036,668037,,1,ignore
line,667019,667054,,1,W73H:1
line,667019,667054,,2,W74H:2
line,667019,669819,,1,W76B:2
line,667067,667101,,1,R30E:1
line,667101,667102,,1,R30E:2
line,667102,667103,,1,R30E:3
line,667210,667211,,1,WL43:7
line,667211,667212,,1,WL43:8
line,668148,668038,,Z1,ROSSBT
line,668116,668047,,1,YW2:1
line,668116,668117,,1,YW2:2
line,668043,668116,,1,YV5:1
line,668067,668068,,1,MM30:2
line,668078,668079,,Z1,MCA58:1
line,668080,668078,,1,MCA14:1
line,668152,668111,,1,JB14:1
2 winding,667035,667036,,1,
2 winding,667035,667037,,1,
2 winding,668136,669044,,1,MANIG:BANK_1
2 winding,668130,669010,,8,MCPHI:BANK_88
2 winding,668129,669010,,9,MCPHI:BANK_99
2 winding,668419,668148,,13,ROSSE:BANK_13
2 winding,668112,668111,,9,SHERB:BANK_99
2 winding,667068,668421,,2,SOURI:BANK_2
2 winding,667304,668105,,2,STAFF:BANK_22
2 winding,668105,669002,,2,STAFF:BANK_2
2 winding,667304,668106,,4,STAFF:BANK_44
2 winding,667304,668104,,7,STAFF:BANK_77
2 winding,667073,668091,,7,WHITE:BANK_77
2 winding,667072,668092,,8,WHITE:BANK_88
2 winding,668432,667023,,2,DUNLO:BANK_2
2 winding,667052,667085,,1,GLENB:BANK_15
2 winding,667018,667218,,8,THOMP:BANK_8
3 winding,667055,668055,669154,1,CLIFF:BANK_1
3 winding,667055,668056,669154,2,CLIFF:BANK_2
line,668057,668058,,1,PA1:1
line,668052,668053,,1,PA2:1
line,668154,668012,,1,HS15:9
2 winding,668408,667047,,6,LAUV:BANK_6
line,667048,667082,,1,G79L:1
line,667043,667047,,1,Y36V:1
line,667109,667087,,1,W97R:1
line,667109,667086,,1,P81C
2 winding,667029,668429,,3,ASHER:BANK_3
2 winding,667109,668439,,1,WASHA:BANK_1
line,668012,668014,,Z1,ignore
line,667035,667109,,1,D83W:1
line,668090,667301,,1,PW75:1
2 winding,669000,667301,,8,POINT:BANK_8
